,Joint: NI/RD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Concatenation: NI+RD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contenation: NI+RD+CI,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Logistic Regression,,,,,Support Vector Machine,,,,,Multi-layer Perceptron,,,,,Random Forest,,,,,Gradient Boosting,,,,
,,,,Precision,,Recall,,AUC,Precision,,Recall,,AUC,Precision,,Recall,,AUC,Precision,,Recall,,AUC,Precision,,Recall,,AUC
,Bins,LBP,Optimization,Benign (0),Malign (1),Benign (0),Malign (1),,Benign (0),Malign (1),Benign (0),Malign (1),,Benign (0),Malign (1),Benign (0),Malign (1),,Benign (0),Malign (1),Benign (0),Malign (1),,Benign (0),Malign (1),Benign (0),Malign (1),
,,,PCA,0.25,0.71,0.78,0.19,0.49,0,0.74,0,1,0.5,0,0.74,0,1,0.5,0.13,0.7,0.11,0.73,0.42,0,0.74,0,1,0.5
,,,LDA,0.26,0.75,0.56,0.46,0.51,0.22,0.33,0.78,0.04,0.41,0.2,0.72,0.22,0.69,0.46,0.25,0.73,0.56,0.42,0.49,0,0.74,0,1,0.5
,,,PCA+LDA,0,0.74,0,1,0.5,0,0.74,0,1,0.5,0,0.74,0,1,0.5,0.2,0.72,0.22,0.69,0.46,0,0.74,0,1,0.5
,,NI+RD,None,0.28,0.8,0.78,0.31,0.54,0,0.74,0,1,0.5,0.29,0.75,0.22,0.81,0.51,0.36,0.79,0.44,0.73,0.59,0,0.74,0,1,0.5
,,,PCA,0.28,0.8,0.78,0.31,0.54,0,0.74,0,1,0.5,0.5,0.77,0.22,0.92,0.57,0.17,0.72,0.11,0.81,0.46,0,0.74,0,1,0.5
,,,LDA,0.27,0.75,0.44,0.58,0.51,0.5,0.77,0.22,0.92,0.57,0.27,0.75,0.44,0.58,0.51,0.27,0.75,0.44,0.58,0.51,0,0.74,0,1,0.5
,,,PCA+LDA,0,0.74,0,0.96,0.48,0,0.74,0,1,0.5,0,0.74,0,0.96,0.48,0.31,0.77,0.44,0.65,0.55,0,0.74,0,1,0.5
,,NI+RD+CI,None,0.28,0.8,0.78,0.31,0.54,0,0.74,0,1,0.5,0.5,0.76,0.11,0.96,0.54,0.36,0.79,0.44,0.73,0.59,0,0.74,0,1,0.5
,,,PCA,0.28,0.8,0.78,0.31,0.54,0,0.74,0,1,0.5,0.5,0.76,0.11,0.96,0.54,0.17,0.72,0.11,0.81,0.46,0,0.74,0,1,0.5
,,,LDA,0.14,0.67,0.22,0.54,0.38,1,0.76,0.11,1,0.56,0.14,0.67,0.22,0.54,0.38,0.14,0.67,0.22,0.54,0.38,0,0.74,0,1,0.5
